input,input_fr,input_wo,label
i did not get any money but still was charged,je n'ai pas reçu d'argent mais j'ai quand même été facturé,Jotuma xaalis waaye terewul am na lu nu ma dagg.,wrong amount of cash received
"Hello, Just now i got to know withdrawal of money from of my account. As someone used my card to withdraw amount in any odd remote area. Since i have not been in that area, please freeze my card immediately.","Bonjour, je viens d'apprendre qu'un retrait d'argent a eu lieu sur mon compte. Quelqu'un a utilisé ma carte pour retirer de l'argent dans une zone reculée. Comme je ne suis pas allé dans cette zone, veuillez bloquer ma carte immédiatement.","Salaamaalekum, maa ngi doog a yëg ne jël nañu xaalis ci sama kont. Mësuma dem ci béréb boobu, kon maa ngi sàkku ngeen bolokeel ma sama kàrt bi nu mu gën a gaawe. Segam mësuma dem ci diwaan boobu, maa ngi sàkku ñu boloke sama kàrt nu mu gën a gaawe",cash withdrawal not recognised
Why is my card payment pending?,Pourquoi mon paiement par carte est-il en attente ?,Lu tax sama peyooru kàrt jàllagul ?,pending card payment
Can I use top-up with Apple pay?,Puis-je utiliser une recharge avec Apple Pay ?,ndax mën naa jëfandikoo sarse ak Apple Pay?,apple pay or google pay
Why am I being charged a fee for using my card? If there is some print out of places that charge me can you please send me that?,"Pourquoi me facture-t-on des frais pour l'utilisation de ma carte ? Si vous disposez d'une copie papier des établissements qui facturent des frais, pourriez-vous me l'envoyer ?","Lu tax ma war a fey ay fere su ma jëfandikoo sama kàrt ? Su fekke dafa am limu béréb yuy feyloo ay fere, ndax mën ngeen ma ko yónnee ?",card payment fee charged
Card activation steps,Étapes d'activation de la carte,Yooni aktiwe kàrt,activate my card
"I have not used my card all day, however, there is an unusual payment showing in my app.  I would like to have that amount reimbursed.","Je n’ai pas utilisé ma carte de la journée, cependant, il y a un paiement inhabituel qui s’affiche dans mon application. J’aimerais qu’on me rembourse ce montant.","Jëfandikoo wuma sama kàrt ci bis bi, waaye amna payoor bu wuute bu ñuy wane ci sama aplikaasioŋ. Bëgg naa ñu delloo ma xaalis bii.",direct debit payment not recognised
"I want to give a second card for this account to my daughter, would this be possible?","Je souhaite donner une deuxième carte pour ce compte à ma fille, serait-ce possible ?","Dama bëggoon a jox ñaareelu kàrtu kont bi sama doom ju jigéen ji, ndax loolu mën na nekk ?",getting spare card
"I was told to verify my identity, how do I do that?","On m'a dit de vérifier mon identité, comment puis-je faire ?","Dañu wax ne naa saytu sama dàntite, naka laa war a def ?",verify my identity
What to do if my physical card is not working?,Que faire si ma carte physique ne fonctionne pas ?,Luma wara def sudee sama kàrt fisik doxul.,card not working
