input,input_fr,input_wo,label
What are the auto-top up policies?,Quelles sont les politiques de rechargement automatique ?,yan ñooy sàrti sarse si saa si?,visa or mastercard
Is there a way yo change my PIN?,Existe-t-il un moyen de changer mon code PIN ?,Ndax am na nu ñu mëna soppi sama baatu ubbikaay?,change pin
Will this card work at any ATM?,Cette carte fonctionnera-t-elle à n’importe quel distributeur automatique de billets ?,Ndax kàrt bii dina dox ci bépp gab?,atm support
How can I transfer money using my credit card?,Comment puis-je transférer de l'argent en utilisant ma carte de crédit ?,Naka laa mëna yónnee xaalis su may jëfandikoo sama kàrt leble ?,Refund not showing up
My billing address changed and I need to update my information.,Mon adresse de facturation a changé et je dois mettre à jour mes informations.,"Fi ñu may faktiiree dafa soppiku, dama war a yeesalaat samay xibaar",edit personal details
how do i get top up with cash deposit,Comment puis-je recharger avec un dépôt en espèces ?,Naka laa mëna sarse ak xaalis bu bari?,top up by cash or cheque
Why was my card charged when topping off my balance but it's not showing up in my wallet balance?,"Pourquoi ma carte a-t-elle été débitée lors du rechargement de mon solde, mais elle n’apparaît pas dans le solde de mon portefeuille ?","Lan moo tax ñu dagg ci sama kàrt bi may dugël sama sold, waaye feeñul ci sama soldu kalpe?",topping up by card
Please delete the duplicate payment that was made to my account. One payment is still pending and I do not want to pay twice.,Veuillez supprimer le paiement en double effectué sur mon compte. Un paiement est toujours en attente et je ne souhaite pas payer deux fois.,"Far leen ndey-dikkeb peyoor bi nekk ci sama kont. Am na peyoor bu jàllagul, te bëgguma fey ñaari yoon",transaction charged twice
Reasons for top up cancellation.,Motifs d'annulation de la recharge.,Yan ñooy sabab sarsamã yu niil ?,top up reverted
hello I have lost my phone and I'm worried someone's going to steal money from me,"bonjour, j’ai perdu mon téléphone et j’ai peur que quelqu’un ne me vole de l’argent","Nanga def, dama ñàkk sama telefon te dama rmu agal am ku sàcc sama xaalis.",lost or stolen phone
"I need help to resolve mix up on my card payment. My account shows the money was taken out and then put back in the account. Then I received a message from the seller, It said that they did not get my payment.","J’ai besoin d’aide pour résoudre une erreur sur mon paiement par carte. Mon compte montre que l’argent a été retiré puis remis sur le compte. Puis j’ai reçu un message du vendeur, il disait qu’ils n’avaient pas reçu mon paiement.","Dama soxla ndimbal ngir saafara benn jafe-jafe ci sama peyoor ak kàrt. Sama kont dafay wone ni xaalis bi dañu ko dindi ba noppi, delloo ko ci kont bi. Ba noppi jot naa bataaxal bu jóge ci jaaykat bi, mu ne jotul sama peyoor.",reverted card payment?
What is the delivery time to the US?,Quel est le délai de livraison aux États-Unis ?,Ban waxtu lañu koy yóbbu Etats Unis?,card delivery estimate
I would like to cancel my previous purchase.,Je souhaite annuler mon achat précédent.,Dama bëgga fomm sama jënd bu njëkk.,Refund not showing up
am afraid someone may have gained access to the info on my card.,j'ai peur que quelqu'un ait eu accès aux informations sur ma carte.,Ragal naa ne dafa am ku joti ci sama kàrt,compromised card
you got the exchange rate wrong for my cash withdrawal,Vous vous êtes trompé de taux de change pour mon retrait d’argent,Da ngeena juum ci njëgu weccoo xaalis bi bimay jël xaalis.,wrong exchange rate for cash withdrawal
Where do I get a disposable virtual card?,Où puis-je obtenir une carte virtuelle jetable ?,Fan laa mëna ame kàrt wirtiyel bu ñuy jëfandikoo benn yoon?,get disposable virtual card
I got a message that my transfer was declined.,J'ai reçu un message indiquant que mon transfert a été refusé.,Dama jot bataaxel buy wax ni nangu wuñu sama yóonee xaalis.,declined transfer
how do I know where I can get money withdrawn?,"Comment savoir où je peux retirer de l'argent ?
","Naka laay xame fan laa mëna génnee xaalis?
",activate my card
why was a extra fee added to my account for transfer ?,pourquoi des frais supplémentaires ont été ajoutés à mon compte pour le transfert ?,Lu tax ñu yokkal ma yeneen fere ci sama kont ngir toxal xaalis bi? ,extra charge on statement
Verify my source of funds?,Vérifier ma source de fonds ?,Naka laay cambaree fi sama xaalis jóge ?,verify source of funds
there is money in my account that i didnt put there,il y a de l'argent sur mon compte que je n'y ai pas mis,Amna xaalis si sama kont boo xamni defuma ko ci.,why verify identity
Can someone in the US have a card?,Quelqu’un aux États-Unis peut-il avoir une carte ?,Ndax ku nekk Amerig mën na am ab kàrt ?,country support
How do I find out how or where this transaction on my account came from?,Comment puis-je savoir comment et d'où vient cette transaction sur mon compte ?,Naka laa mëna xame naka ak fan la jëflante bi am ci sama kont bawoo ?,card payment fee charged
"If I exchange currencies frequently, is there a discount?","Si j'échange fréquemment des devises, y a-t-il une réduction ?","Su fekkee damay faral di weccoo xaalis, ndax dingeen ma mën a wàññil ?",exchange charge
